Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
iris,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.02111221606E7,105.0,45.0,44.0,1.0,0.0,97.77777777777777,2.2222222222222223,0.0,0.9666666666666665,0.025539397496817134,0.11895737889521207,5.746364436783858,25.23467078669459,71.32331253245204,5.738307046583008,65.58500548586903,1.5849625007211563,0.1275179343685113,1.4574445663526452,68.08059433932537,1.5129020964294528,95.4534946877976,1.0,15.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,0.011111111111111112,0.9888888888888889,0.022222222222222223,0.9791666666666666,0.9777777777777777,0.9777530589543938,0.9674511882853238,0.9985185185185186,0.9972222222222222,0.9777530589543938,0.9777777777777777,0.078,0.0,0.078125,0.0,78.125,0.0,11620.0,8591.0,4451.0,97.77777777777777,35.55555555555558,?
iris,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.02111221606E7,105.0,45.0,44.0,1.0,0.0,97.77777777777777,2.2222222222222223,0.0,0.9666666666666665,0.024179338082125308,0.11068744473472711,5.440351068478197,23.48035282924103,71.32331253245204,4.383784375692193,66.93952815675985,1.5849625007211563,0.09741743057093763,1.4875450701502189,68.23497479054167,1.5163327731231482,95.66994628789125,1.0,15.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,0.011111111111111112,0.9888888888888889,0.022222222222222223,0.9791666666666666,0.9777777777777777,0.9777530589543938,0.9674511882853238,1.0,1.0,0.9777530589543938,0.9777777777777777,0.034,0.001,0.03125,0.0,31.25,0.0,11620.0,8591.0,4451.0,100.0,35.55555555555557,?
iris,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.02111221606E7,105.0,45.0,42.0,3.0,0.0,93.33333333333333,6.666666666666667,0.0,0.9,0.04172352434736731,0.1696091171315184,9.38779297815765,35.97952706242804,71.32331253245204,10.480824739122797,60.84248779332924,1.5849625007211563,0.23290721642495105,1.3520552842962053,65.51617450638516,1.4559149890307812,91.85800852501819,1.0,15.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.03333333333333333,0.9666666666666667,0.06666666666666667,0.9444444444444444,0.9333333333333333,0.9326599326599326,0.9062760897356267,0.9992592592592593,0.9986111111111111,0.9326599326599327,0.9333333333333333,0.025,0.001,0.03125,0.0,31.25,0.0,11620.0,8591.0,4451.0,97.77777777777777,34.81481481481483,?
iris,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.02111221606E7,105.0,45.0,43.0,2.0,0.0,95.55555555555556,4.444444444444445,0.0,0.9333333333333332,0.040203798771331636,0.1604090818190049,9.045854723549622,34.02790485543784,71.32331253245204,8.137627144460092,63.185685387991946,1.5849625007211563,0.18083615876577983,1.4041263419553767,65.87654754048529,1.463923278677451,92.36327534634842,1.0,15.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9555555555555556,0.022222222222222223,0.9777777777777777,0.044444444444444446,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9333333333333333,0.9955555555555555,0.9918082788671024,0.9555555555555556,0.9555555555555556,0.025,0.0,0.03125,0.0,31.25,0.0,11620.0,8591.0,4451.0,100.0,36.29629629629631,?
iris,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.02111221606E7,105.0,45.0,40.0,5.0,0.0,88.88888888888889,11.11111111111111,0.0,0.8333333333333333,0.0739007420784174,0.24451775376960838,16.627666967643925,51.87004854329779,71.32331253245204,24.386916172679168,46.93639635977287,1.5849625007211563,0.5419314705039815,1.043031030217175,60.6774050986138,1.3483867799691955,85.07373388049756,1.0,15.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.05555555555555555,0.9444444444444444,0.1111111111111111,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.848832787020183,0.9518518518518517,0.9486771328327306,0.8857142857142857,0.8888888888888888,0.024,0.0,0.015625,0.0,15.625,0.0,11620.0,8591.0,4451.0,93.33333333333333,35.55555555555557,?
iris,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.02111221606E7,105.0,45.0,43.0,2.0,0.0,95.55555555555556,4.444444444444445,0.0,0.9333333333333332,0.043318059735658825,0.16904227730410212,9.746563440523241,35.85928217668424,71.32331253245204,9.989949482665214,61.333363049786826,1.5849625007211563,0.2219988773925603,1.3629636233285962,65.51824300302263,1.455960955622725,91.86090869407096,1.0,15.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9555555555555556,0.022222222222222223,0.9777777777777777,0.044444444444444446,0.9607843137254902,0.9555555555555556,0.9553571428571429,0.9362910106130092,0.997037037037037,0.9945152505446623,0.9553571428571429,0.9555555555555556,0.032,0.0,0.046875,0.0,46.875,0.0,11620.0,8591.0,4451.0,100.0,35.55555555555557,?
iris,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.02111221606E7,105.0,45.0,44.0,1.0,0.0,97.77777777777777,2.2222222222222223,0.0,0.9666666666666665,0.02757313820510922,0.10450484211559152,6.203956096149578,22.168824758029285,71.32331253245204,3.7147381162420388,67.60857441620999,1.5849625007211563,0.08254973591648974,1.5024127648046663,67.78416633532198,1.5063148074515997,95.0378830266475,1.0,15.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,0.011111111111111112,0.9888888888888889,0.022222222222222223,0.9791666666666666,0.9777777777777777,0.9777530589543938,0.9674511882853238,1.0,1.0,0.9777530589543938,0.9777777777777777,0.025,0.0,0.015625,0.0,15.625,0.0,11620.0,8591.0,4451.0,100.0,36.29629629629631,?
iris,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.02111221606E7,105.0,45.0,44.0,1.0,0.0,97.77777777777777,2.2222222222222223,0.0,0.9666666666666665,0.023088162116407265,0.11978471461963024,5.194836476191638,25.41017519701078,71.32331253245204,6.378494911661095,64.94481762079094,1.5849625007211563,0.14174433137024656,1.4432181693509099,68.33920319265273,1.5186489598367274,95.81608139913365,1.0,15.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,0.011111111111111112,0.9888888888888889,0.022222222222222223,0.9791666666666666,0.9777777777777777,0.9777530589543938,0.9674511882853238,1.0,1.0,0.9777530589543938,0.9777777777777777,0.025,0.0,0.03125,0.0,31.25,0.0,11620.0,8591.0,4451.0,97.77777777777777,33.33333333333336,?
iris,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.02111221606E7,105.0,45.0,43.0,2.0,0.0,95.55555555555556,4.444444444444445,0.0,0.9333333333333332,0.03929246785151778,0.16572192165001842,8.840805266591506,35.15492837699813,71.32331253245204,10.948395684977164,60.37491684747487,1.5849625007211563,0.24329768188838144,1.3416648188327749,66.0320028023838,1.4673778400529733,92.58123390208398,1.0,15.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9555555555555556,0.022222222222222223,0.9777777777777777,0.044444444444444446,0.9607843137254902,0.9555555555555556,0.9553571428571429,0.9362910106130092,0.9874074074074075,0.9860185185185186,0.9553571428571429,0.9555555555555556,0.026,0.001,0.03125,0.0,31.25,0.0,11620.0,8591.0,4451.0,97.77777777777777,34.81481481481483,?
iris,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.02111221606E7,105.0,45.0,41.0,4.0,0.0,91.11111111111111,8.88888888888889,0.0,0.8666666666666665,0.05774399680570017,0.21221616553298298,12.992399281282546,45.01784691773375,71.32331253245204,15.277801398765966,56.04551113368607,1.5849625007211563,0.3395066977503548,1.2454558029708016,63.02598434449534,1.4005774298776743,88.36659726904662,1.0,15.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9111111111111111,0.044444444444444446,0.9555555555555556,0.08888888888888889,0.9155354449472096,0.9111111111111111,0.9107142857142857,0.8692120621713242,0.9940740740740741,0.9895238095238096,0.9107142857142857,0.9111111111111111,0.026,0.0,0.03125,0.0,31.25,0.0,11620.0,8591.0,4451.0,97.77777777777777,35.55555555555557,?
